id_cliente;razon_social;rut;pais;segmento;fecha_alta;linea_credito_clp;clasificacion_riesgo;estado;ejecutivo_cobranza
CL0185;Distribuidora Itata Ltda.;60.025.345-K;CHILE;FOODSERVICE;2012-11-30;20000000;B;ACTIVO;Cristian Bravo Aguilera
CL0186;Inversiones Laraquete S.A.;60.025.482-0;CHILE;FOODSERVICE;2014-06-14;55000000;C;ACTIVO;Cristian Bravo Aguilera
CL0187;Servicios de Alimentacion Laraquete y Cia. Ltda.;60.025.619-K;CHILE;FOODSERVICE;2018-03-15;20000000;A;ACTIVO;Paula Zambrano Leiva
CL0188;Comercial Cholguan y Cia. Ltda.;60.025.756-0;CHILE;FOODSERVICE;2023-03-15;25000000;B;ACTIVO;Cristian Bravo Aguilera
CL0189;Distribuidora Yumbel y Cia. Ltda.;60.025.893-1;CHILE;FOODSERVICE;2023-02-08;80000000;C;ACTIVO;Hector Manriquez Salas
CL0190;Alimentos Cobquecura SpA;60.026.030-8;CHILE;FOODSERVICE;2023-07-16;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0191;Gastronomica Rucalhue S.A.;60.026.167-3;CHILE;FOODSERVICE;2016-01-10;15000000;C;ACTIVO;Cristian Bravo Aguilera
CL0192;Servicios de Alimentacion Curanilahue S.A.;60.026.304-8;CHILE;FOODSERVICE;2013-09-16;25000000;A;ACTIVO;Cristian Bravo Aguilera
CL0193;Congelados Antuco y Cia. Ltda.;60.026.441-9;CHILE;FOODSERVICE;2022-06-10;265000000;C;ACTIVO;Ximena Toro Pacheco
CL0194;Inversiones Rucalhue SpA;60.026.578-4;CHILE;FOODSERVICE;2017-07-29;20000000;D;ACTIVO;Nataly Poblete Ruiz
CL0195;Congelados Cholguan E.I.R.L.;60.026.715-9;CHILE;FOODSERVICE;2015-03-15;20000000;D;ACTIVO;Paula Zambrano Leiva
CL0196;Congelados Rio Claro SpA;60.026.852-K;CHILE;FOODSERVICE;2022-02-23;40000000;D;ACTIVO;Cristian Bravo Aguilera
CL0197;Distribuidora Ranquil SpA;60.026.989-5;CHILE;FOODSERVICE;2013-01-21;15000000;A;ACTIVO;Hector Manriquez Salas
CL0198;Alimentos Nahuelbuta E.I.R.L.;60.027.126-1;CHILE;FOODSERVICE;2015-09-19;45000000;A;ACTIVO;Hector Manriquez Salas
CL0199;Gastronomica Ranquil S.A.;60.027.263-2;CHILE;FOODSERVICE;2017-11-27;25000000;C;ACTIVO;Hector Manriquez Salas
CL0200;Comercial Quirihue E.I.R.L.;60.027.400-7;CHILE;FOODSERVICE;2019-10-19;35000000;A;ACTIVO;Paula Zambrano Leiva
CL0201;Sociedad Comercial Renaico SpA;60.027.537-2;CHILE;FOODSERVICE;2020-08-05;15000000;A;ACTIVO;Ximena Toro Pacheco
CL0202;Comercial Cobquecura y Cia. Ltda.;60.027.674-3;CHILE;FOODSERVICE;2023-05-25;35000000;B;ACTIVO;Paula Zambrano Leiva
CL0203;Sociedad Comercial Bulnes E.I.R.L.;60.027.811-8;CHILE;FOODSERVICE;2021-04-26;95000000;D;ACTIVO;Cristian Bravo Aguilera
CL0204;Gastronomica Lota SpA;60.027.948-3;CHILE;FOODSERVICE;2023-08-06;45000000;D;EN_COBRANZA_JUDICIAL;Cristian Bravo Aguilera
CL0205;Sociedad Comercial Lircay E.I.R.L.;60.028.085-6;CHILE;FOODSERVICE;2020-04-15;65000000;D;ACTIVO;Ximena Toro Pacheco
CL0206;Gastronomica Curanilahue Ltda.;60.028.222-0;CHILE;FOODSERVICE;2020-09-01;30000000;B;ACTIVO;Ximena Toro Pacheco
CL0207;Servicios de Alimentacion Tome S.A.;60.028.359-6;CHILE;FOODSERVICE;2019-01-12;15000000;A;ACTIVO;Nataly Poblete Ruiz
CL0208;Sociedad Comercial Chillan Ltda.;60.028.496-7;CHILE;FOODSERVICE;2014-07-24;35000000;B;ACTIVO;Ximena Toro Pacheco
CL0209;Gastronomica Quillon E.I.R.L.;60.028.633-1;CHILE;FOODSERVICE;2023-02-05;20000000;B;ACTIVO;Hector Manriquez Salas
CL0210;Distribuidora Antuco Ltda.;60.028.770-2;CHILE;FOODSERVICE;2014-10-13;20000000;A;ACTIVO;Paula Zambrano Leiva
CL0211;Comercial Cobquecura E.I.R.L.;60.028.907-1;CHILE;FOODSERVICE;2023-09-02;65000000;D;EN_COBRANZA_JUDICIAL;Nataly Poblete Ruiz
CL0212;Congelados Itata S.A.;60.029.044-4;CHILE;FOODSERVICE;2019-07-09;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0213;Alimentos Cholguan Ltda.;60.029.181-5;CHILE;FOODSERVICE;2019-05-27;15000000;B;ACTIVO;Cristian Bravo Aguilera
CL0214;Gastronomica Mulchen S.A.;60.029.318-4;CHILE;FOODSERVICE;2016-11-20;120000000;A;ACTIVO;Ximena Toro Pacheco
CL0215;Distribuidora Itata S.A.;60.029.455-5;CHILE;FOODSERVICE;2018-01-19;15000000;A;ACTIVO;Ximena Toro Pacheco
CL0216;Servicios de Alimentacion Cobquecura E.I.R.L.;60.029.592-6;CHILE;FOODSERVICE;2020-03-08;25000000;C;ACTIVO;Ximena Toro Pacheco
CL0217;Comercial Pemuco y Cia. Ltda.;60.029.729-5;CHILE;FOODSERVICE;2021-09-08;335000000;C;ACTIVO;Ximena Toro Pacheco
CL0218;Servicios de Alimentacion Hualpen SpA;60.029.866-6;CHILE;FOODSERVICE;2014-03-21;15000000;B;ACTIVO;Paula Zambrano Leiva
CL0219;Comercial Cholguan y Cia. Ltda.;60.030.003-2;CHILE;FOODSERVICE;2020-10-28;35000000;B;ACTIVO;Paula Zambrano Leiva
CL0220;Congelados Rucalhue S.A.;60.030.140-3;CHILE;FOODSERVICE;2013-11-09;75000000;D;EN_COBRANZA_JUDICIAL;Nataly Poblete Ruiz
CL0221;Distribuidora Lircay Ltda.;60.030.277-9;CHILE;FOODSERVICE;2015-05-24;20000000;A;ACTIVO;Ximena Toro Pacheco
CL0222;Sociedad Comercial Portezuelo SpA;60.030.414-3;CHILE;FOODSERVICE;2013-06-16;15000000;B;ACTIVO;Paula Zambrano Leiva
CL0223;Alimentos Lota E.I.R.L.;60.030.551-4;CHILE;CADENA_RETAIL;2015-07-19;15000000;B;ACTIVO;Hector Manriquez Salas
CL0224;Congelados Lircay E.I.R.L.;60.030.688-K;CHILE;CADENA_RETAIL;2018-05-12;115000000;A;ACTIVO;Ximena Toro Pacheco
CL0225;Sociedad Comercial San Pedro Ltda.;60.030.825-4;CHILE;CADENA_RETAIL;2019-10-26;15000000;B;INACTIVO;Paula Zambrano Leiva
CL0226;Gastronomica Vergara S.A.;60.030.962-5;CHILE;CADENA_RETAIL;2023-04-30;20000000;B;ACTIVO;Ximena Toro Pacheco
CL0227;Alimentos Nacimiento S.A.;60.031.099-2;CHILE;CADENA_RETAIL;2017-10-05;15000000;A;ACTIVO;Paula Zambrano Leiva
CL0228;Servicios de Alimentacion Cabrero SpA;60.031.236-7;CHILE;CADENA_RETAIL;2013-08-22;15000000;C;ACTIVO;Paula Zambrano Leiva
CL0229;Distribuidora Nahuelbuta E.I.R.L.;60.031.373-8;CHILE;CADENA_RETAIL;2013-01-10;25000000;A;ACTIVO;Paula Zambrano Leiva
CL0230;Alimentos Cabrero E.I.R.L.;60.031.510-2;CHILE;CADENA_RETAIL;2021-10-14;20000000;A;ACTIVO;Paula Zambrano Leiva
CL0231;Distribuidora Biobio S.A.;60.031.647-8;CHILE;CADENA_RETAIL;2016-12-08;30000000;B;ACTIVO;Nataly Poblete Ruiz
CL0232;Alimentos Santa Juana y Cia. Ltda.;60.031.784-9;CHILE;CADENA_RETAIL;2014-04-02;20000000;B;ACTIVO;Hector Manriquez Salas
CL0233;Inversiones Lircay SpA;60.031.921-3;CHILE;CADENA_RETAIL;2020-11-05;40000000;A;ACTIVO;Ximena Toro Pacheco
CL0234;Servicios de Alimentacion Quirihue y Cia. Ltda.;60.032.058-0;CHILE;CADENA_RETAIL;2022-02-18;15000000;A;ACTIVO;Ximena Toro Pacheco
CL0235;Inversiones Rio Claro SpA;60.032.195-1;CHILE;CADENA_RETAIL;2017-12-05;20000000;B;ACTIVO;Hector Manriquez Salas
CL0236;Gastronomica Mulchen S.A.;60.032.332-6;CHILE;CADENA_RETAIL;2015-05-19;15000000;C;INACTIVO;Cristian Bravo Aguilera
CL0237;Distribuidora Cobquecura E.I.R.L.;60.032.469-1;CHILE;CADENA_RETAIL;2019-04-14;15000000;B;ACTIVO;Hector Manriquez Salas
CL0238;Inversiones Pemuco SpA;60.032.606-6;CHILE;CADENA_RETAIL;2018-09-25;20000000;B;ACTIVO;Cristian Bravo Aguilera
CL0239;Sociedad Comercial Quillon SpA;60.032.743-7;CHILE;CADENA_RETAIL;2018-07-03;15000000;C;ACTIVO;Ximena Toro Pacheco
CL0240;Sociedad Comercial Pemuco S.A.;60.032.880-8;CHILE;CADENA_RETAIL;2022-12-20;20000000;A;ACTIVO;Nataly Poblete Ruiz
CL0241;Comercial Penco y Cia. Ltda.;60.033.017-9;CHILE;CADENA_RETAIL;2018-05-19;85000000;A;ACTIVO;Ximena Toro Pacheco
CL0242;Alimentos Pemuco E.I.R.L.;60.033.154-K;CHILE;CADENA_RETAIL;2023-09-02;15000000;B;ACTIVO;Hector Manriquez Salas
CL0243;Sociedad Comercial Itata S.A.;60.033.291-0;CHILE;CADENA_RETAIL;2022-03-07;20000000;A;ACTIVO;Hector Manriquez Salas
CL0244;Inversiones Lircay y Cia. Ltda.;60.033.428-K;CHILE;CADENA_RETAIL;2020-05-31;10000000;C;INACTIVO;Hector Manriquez Salas
CL0245;Distribuidora Lota SpA;60.033.565-0;CHILE;CADENA_RETAIL;2016-06-14;570000000;A;ACTIVO;Hector Manriquez Salas
CL0246;Congelados Nacimiento E.I.R.L.;60.033.702-5;CHILE;CADENA_RETAIL;2018-10-11;40000000;C;ACTIVO;Cristian Bravo Aguilera
CL0247;Gastronomica Antuco S.A.;60.033.839-0;CHILE;CADENA_RETAIL;2021-12-27;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0248;Congelados Curanilahue Ltda.;60.033.976-1;CHILE;CADENA_RETAIL;2019-06-25;25000000;D;QUIEBRA;Paula Zambrano Leiva
CL0249;Congelados Ranquil Ltda.;60.034.113-8;CHILE;CADENA_RETAIL;2014-05-26;15000000;C;ACTIVO;Hector Manriquez Salas
CL0250;Gastronomica Coihueco y Cia. Ltda.;60.034.250-9;CHILE;CADENA_RETAIL;2017-07-22;15000000;B;INACTIVO;Paula Zambrano Leiva
CL0251;Congelados Biobio SpA;60.034.387-4;CHILE;CADENA_RETAIL;2023-11-02;20000000;A;ACTIVO;Cristian Bravo Aguilera
CL0252;Gastronomica Cabrero y Cia. Ltda.;60.034.524-9;CHILE;CADENA_RETAIL;2020-11-13;20000000;A;ACTIVO;Hector Manriquez Salas
CL0253;Sociedad Comercial Antuco Ltda.;60.034.661-K;CHILE;CADENA_RETAIL;2017-01-15;15000000;A;ACTIVO;Cristian Bravo Aguilera
CL0254;Congelados Nacimiento S.A.;60.034.798-5;CHILE;CADENA_RETAIL;2020-08-15;25000000;D;ACTIVO;Paula Zambrano Leiva
CL0255;Servicios de Alimentacion Los Angeles Ltda.;60.034.935-K;CHILE;CADENA_RETAIL;2014-01-06;15000000;C;ACTIVO;Ximena Toro Pacheco
CL0256;Sociedad Comercial Nacimiento E.I.R.L.;60.035.072-2;CHILE;CADENA_RETAIL;2019-03-02;15000000;B;ACTIVO;Hector Manriquez Salas
CL0257;Servicios de Alimentacion Santa Juana E.I.R.L.;60.035.209-1;CHILE;CADENA_RETAIL;2023-08-25;15000000;B;INACTIVO;Ximena Toro Pacheco
CL0258;Gastronomica Quillon E.I.R.L.;60.035.346-2;CHILE;CADENA_RETAIL;2022-03-18;15000000;B;ACTIVO;Nataly Poblete Ruiz
CL0259;Gastronomica Penco Ltda.;60.035.483-3;CHILE;CADENA_RETAIL;2018-06-05;25000000;C;ACTIVO;Cristian Bravo Aguilera
CL0260;Servicios de Alimentacion Yumbel E.I.R.L.;60.035.620-8;CHILE;CADENA_RETAIL;2016-02-25;15000000;B;ACTIVO;Hector Manriquez Salas
CL0261;Comercial Antuco y Cia. Ltda.;60.035.757-3;CHILE;CADENA_RETAIL;2020-03-24;10000000;C;INACTIVO;Hector Manriquez Salas
CL0262;Alimentos Lota Ltda.;60.035.894-4;CHILE;CADENA_RETAIL;2018-02-02;10000000;A;ACTIVO;Nataly Poblete Ruiz
CL0263;Servicios de Alimentacion Biobio E.I.R.L.;60.036.031-0;CHILE;CADENA_RETAIL;2016-03-07;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0264;Gastronomica Lircay y Cia. Ltda.;60.036.168-6;CHILE;CADENA_RETAIL;2018-07-08;10000000;B;ACTIVO;Ximena Toro Pacheco
CL0265;Alimentos Hualpen S.A.;60.036.305-0;CHILE;CADENA_RETAIL;2021-06-20;135000000;C;ACTIVO;Hector Manriquez Salas
CL0266;Alimentos Puren SpA;60.036.442-1;CHILE;CADENA_RETAIL;2023-08-10;70000000;C;ACTIVO;Hector Manriquez Salas
CL0267;Comercial Portezuelo y Cia. Ltda.;60.036.579-7;CHILE;CADENA_RETAIL;2021-10-05;15000000;A;ACTIVO;Paula Zambrano Leiva
CL0268;Inversiones Puren y Cia. Ltda.;60.036.716-1;CHILE;CADENA_RETAIL;2015-11-21;15000000;A;ACTIVO;Hector Manriquez Salas
CL0269;Sociedad Comercial Bulnes S.A.;60.036.853-2;CHILE;MAYORISTA;2019-03-30;20000000;D;ACTIVO;Cristian Bravo Aguilera
CL0270;Servicios de Alimentacion Monte Aguila E.I.R.L.;60.036.990-3;CHILE;MAYORISTA;2019-01-08;45000000;B;ACTIVO;Ximena Toro Pacheco
CL0271;Inversiones Bulnes Ltda.;60.037.127-4;CHILE;MAYORISTA;2022-06-22;15000000;A;ACTIVO;Cristian Bravo Aguilera
CL0272;Sociedad Comercial Hualpen Ltda.;60.037.264-5;CHILE;MAYORISTA;2023-03-13;15000000;D;ACTIVO;Ximena Toro Pacheco
CL0273;Gastronomica Curanilahue Ltda.;60.037.401-K;CHILE;MAYORISTA;2023-09-24;15000000;A;ACTIVO;Cristian Bravo Aguilera
CL0274;Comercial Pemuco y Cia. Ltda.;60.037.538-5;CHILE;MAYORISTA;2018-11-03;15000000;C;INACTIVO;Cristian Bravo Aguilera
CL0275;Inversiones Antuco S.A.;60.037.675-6;CHILE;MAYORISTA;2018-06-13;50000000;A;ACTIVO;Hector Manriquez Salas
CL0276;Alimentos Cobquecura Ltda.;60.037.812-0;CHILE;MAYORISTA;2013-12-23;15000000;B;ACTIVO;Ximena Toro Pacheco
CL0277;Distribuidora Ninhue S.A.;60.037.949-6;CHILE;MAYORISTA;2020-11-19;20000000;B;ACTIVO;Paula Zambrano Leiva
CL0278;Comercial Laraquete SpA;60.038.086-9;CHILE;MAYORISTA;2015-10-18;30000000;A;ACTIVO;Hector Manriquez Salas
CL0279;Comercial Hualpen SpA;60.038.223-3;CHILE;MAYORISTA;2016-10-28;1895000000;C;ACTIVO;Nataly Poblete Ruiz
CL0280;Gastronomica Laraquete SpA;60.038.360-4;CHILE;MAYORISTA;2022-02-02;20000000;A;ACTIVO;Paula Zambrano Leiva
CL0281;Distribuidora San Pedro E.I.R.L.;60.038.497-K;CHILE;MAYORISTA;2015-01-31;15000000;B;INACTIVO;Hector Manriquez Salas
CL0282;Comercial Arauco Ltda.;60.038.634-4;CHILE;MAYORISTA;2019-09-15;20000000;A;ACTIVO;Hector Manriquez Salas
CL0283;Comercial Curanilahue Ltda.;60.038.771-5;CHILE;MAYORISTA;2022-10-04;20000000;C;ACTIVO;Paula Zambrano Leiva
CL0284;Gastronomica Vergara E.I.R.L.;60.038.908-4;CHILE;MAYORISTA;2019-12-21;15000000;C;INACTIVO;Hector Manriquez Salas
CL0285;Gastronomica Tome E.I.R.L.;60.039.045-7;CHILE;MAYORISTA;2017-01-22;30000000;B;ACTIVO;Ximena Toro Pacheco
CL0286;Sociedad Comercial Florida SpA;60.039.182-8;CHILE;MAYORISTA;2013-06-05;25000000;A;ACTIVO;Paula Zambrano Leiva
CL0287;Comercial Cholguan S.A.;60.039.319-7;CHILE;MAYORISTA;2021-06-25;20000000;B;ACTIVO;Hector Manriquez Salas
CL0288;Servicios de Alimentacion Cholguan y Cia. Ltda.;60.039.456-8;CHILE;MAYORISTA;2015-07-13;80000000;D;ACTIVO;Ximena Toro Pacheco
CL0289;Distribuidora Monte Aguila SpA;60.039.593-9;CHILE;MAYORISTA;2017-10-15;15000000;B;ACTIVO;Hector Manriquez Salas
CL0290;Distribuidora Ninhue S.A.;60.039.730-3;CHILE;MAYORISTA;2016-08-21;10000000;A;INACTIVO;Nataly Poblete Ruiz
CL0291;Alimentos Coihueco SpA;60.039.867-9;CHILE;MAYORISTA;2019-05-02;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0292;Servicios de Alimentacion Renaico Ltda.;60.040.004-5;CHILE;MAYORISTA;2020-08-09;15000000;C;ACTIVO;Ximena Toro Pacheco
CL0293;Sociedad Comercial Rucalhue E.I.R.L.;60.040.141-6;CHILE;MAYORISTA;2020-01-19;15000000;A;ACTIVO;Paula Zambrano Leiva
CL0294;Comercial Quillon y Cia. Ltda.;60.040.278-1;CHILE;MAYORISTA;2015-09-10;10000000;A;ACTIVO;Nataly Poblete Ruiz
CL0295;Alimentos Coihueco Ltda.;60.040.415-6;CHILE;MAYORISTA;2021-02-07;35000000;C;ACTIVO;Ximena Toro Pacheco
CL0296;Comercial Cholguan SpA;60.040.552-7;CHILE;MAYORISTA;2014-12-19;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0297;Congelados Renaico y Cia. Ltda.;60.040.689-2;CHILE;MAYORISTA;2018-05-03;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0298;Alimentos Curanilahue E.I.R.L.;60.040.826-7;CHILE;MAYORISTA;2019-01-13;15000000;B;ACTIVO;Nataly Poblete Ruiz
CL0299;Gastronomica Puren SpA;60.040.963-8;CHILE;MAYORISTA;2020-12-21;25000000;B;ACTIVO;Paula Zambrano Leiva
CL0300;Alimentos Mulchen E.I.R.L.;60.041.100-4;CHILE;MAYORISTA;2020-02-22;10000000;D;INACTIVO;Cristian Bravo Aguilera
CL0301;Inversiones Cholguan E.I.R.L.;60.041.237-K;CHILE;MAYORISTA;2020-12-02;90000000;B;ACTIVO;Cristian Bravo Aguilera
CL0302;Inversiones San Pedro y Cia. Ltda.;60.041.374-0;CHILE;MAYORISTA;2019-04-24;20000000;C;ACTIVO;Ximena Toro Pacheco
CL0303;Inversiones San Pedro Ltda.;60.041.511-5;CHILE;MAYORISTA;2021-01-15;20000000;B;INACTIVO;Paula Zambrano Leiva
CL0304;Congelados Nacimiento E.I.R.L.;60.041.648-0;CHILE;MAYORISTA;2018-07-28;55000000;A;ACTIVO;Hector Manriquez Salas
CL0305;Servicios de Alimentacion Yumbel E.I.R.L.;60.041.785-1;CHILE;MAYORISTA;2022-04-28;20000000;A;ACTIVO;Cristian Bravo Aguilera
CL0306;Congelados Monte Aguila Ltda.;60.041.922-6;CHILE;MAYORISTA;2020-08-25;20000000;B;ACTIVO;Hector Manriquez Salas
CL0307;Sociedad Comercial Nahuelbuta Ltda.;60.042.059-3;CHILE;MAYORISTA;2023-06-20;15000000;C;ACTIVO;Cristian Bravo Aguilera
CL0308;Distribuidora Rio Claro E.I.R.L.;60.042.196-4;CHILE;MAYORISTA;2020-03-14;15000000;D;ACTIVO;Ximena Toro Pacheco
CL0309;Comercial Rucalhue SpA;60.042.333-9;CHILE;MAYORISTA;2022-06-04;20000000;B;ACTIVO;Cristian Bravo Aguilera
CL0310;Servicios de Alimentacion Antuco S.A.;60.042.470-K;CHILE;MAYORISTA;2014-11-21;20000000;C;ACTIVO;Cristian Bravo Aguilera
CL0311;Comercial Arauco y Cia. Ltda.;60.042.607-9;CHILE;MAYORISTA;2015-05-05;390000000;D;EN_COBRANZA_JUDICIAL;Paula Zambrano Leiva
CL0312;Distribuidora Florida E.I.R.L.;60.042.744-K;CHILE;MAYORISTA;2023-04-19;15000000;C;ACTIVO;Nataly Poblete Ruiz
CL0313;Inversiones Curanilahue Ltda.;60.042.881-0;CHILE;MAYORISTA;2013-02-26;20000000;A;ACTIVO;Cristian Bravo Aguilera
CL0314;Servicios de Alimentacion Lota E.I.R.L.;60.043.018-1;CHILE;MAYORISTA;2019-04-16;65000000;C;ACTIVO;Cristian Bravo Aguilera
CL0315;Distribuidora Ranquil S.A.;60.043.155-2;CHILE;MAYORISTA;2019-07-23;15000000;A;INACTIVO;Cristian Bravo Aguilera
CL0316;Distribuidora Itata Ltda.;60.043.292-3;CHILE;MAYORISTA;2016-08-12;20000000;C;ACTIVO;Nataly Poblete Ruiz
CL0317;Distribuidora Cabrero y Cia. Ltda.;60.043.429-2;CHILE;MAYORISTA;2018-06-16;15000000;B;ACTIVO;Hector Manriquez Salas
CL0318;Inversiones Cabrero y Cia. Ltda.;60.043.566-3;CHILE;MAYORISTA;2017-10-20;15000000;B;ACTIVO;Paula Zambrano Leiva
CL0319;Congelados Monte Aguila Ltda.;60.043.703-8;CHILE;MAYORISTA;2023-09-09;20000000;A;ACTIVO;Hector Manriquez Salas
CL0320;Comercial Yumbel Ltda.;60.043.840-9;CHILE;MAYORISTA;2023-04-27;15000000;B;ACTIVO;Ximena Toro Pacheco
CL0321;Sociedad Comercial Puren S.A.;60.043.977-4;CHILE;MAYORISTA;2017-01-01;225000000;B;ACTIVO;Hector Manriquez Salas
CL0322;Gastronomica Quillon y Cia. Ltda.;60.044.114-0;CHILE;MAYORISTA;2015-01-25;15000000;A;ACTIVO;Ximena Toro Pacheco
CL0323;Distribuidora Trehuaco E.I.R.L.;60.044.251-1;CHILE;MAYORISTA;2020-07-31;220000000;C;ACTIVO;Hector Manriquez Salas
CL0324;Inversiones Rucalhue y Cia. Ltda.;60.044.388-7;CHILE;MAYORISTA;2016-10-19;20000000;D;ACTIVO;Ximena Toro Pacheco
CL0325;Alimentos Coihueco E.I.R.L.;60.044.525-1;CHILE;MAYORISTA;2021-07-04;90000000;A;ACTIVO;Nataly Poblete Ruiz
CL0326;Gastronomica Monte Aguila y Cia. Ltda.;60.044.662-2;CHILE;MAYORISTA;2022-09-17;20000000;C;ACTIVO;Cristian Bravo Aguilera
CL0327;Inversiones Lota E.I.R.L.;60.044.799-8;CHILE;MAYORISTA;2014-02-04;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0328;Servicios de Alimentacion Pemuco S.A.;60.044.936-2;CHILE;MAYORISTA;2013-02-28;20000000;B;ACTIVO;Nataly Poblete Ruiz
CL0329;Comercial Vergara SpA;60.045.073-5;CHILE;MAYORISTA;2018-12-31;15000000;B;ACTIVO;Ximena Toro Pacheco
CL0330;Congelados Vergara y Cia. Ltda.;60.045.210-K;CHILE;MAYORISTA;2018-05-18;25000000;A;ACTIVO;Ximena Toro Pacheco
CL0331;Comercial Cabrero S.A.;60.045.347-5;CHILE;MAYORISTA;2015-11-14;230000000;D;EN_COBRANZA_JUDICIAL;Hector Manriquez Salas
CL0332;Comercial Los Angeles S.A.;60.045.484-6;CHILE;MAYORISTA;2023-11-01;20000000;A;ACTIVO;Cristian Bravo Aguilera
CL0333;Alimentos Renaico y Cia. Ltda.;60.045.621-0;CHILE;MAYORISTA;2020-12-25;20000000;A;ACTIVO;Hector Manriquez Salas
CL0334;Inversiones Quirihue SpA;60.045.758-6;CHILE;MAYORISTA;2017-08-03;20000000;B;ACTIVO;Hector Manriquez Salas
CL0335;Servicios de Alimentacion Quillon SpA;60.045.895-7;CHILE;MAYORISTA;2013-04-18;25000000;B;ACTIVO;Ximena Toro Pacheco
CL0336;Alimentos Puren SpA;60.046.032-3;CHILE;MAYORISTA;2013-12-22;25000000;B;ACTIVO;Hector Manriquez Salas
CL0337;Congelados Coihueco y Cia. Ltda.;60.046.169-9;CHILE;MAYORISTA;2014-04-12;70000000;C;ACTIVO;Ximena Toro Pacheco
CL0338;Comercial Yumbel SpA;60.046.306-3;CHILE;MAYORISTA;2017-08-29;20000000;B;ACTIVO;Hector Manriquez Salas
CL0339;Servicios de Alimentacion Vergara S.A.;60.046.443-4;CHILE;MAYORISTA;2018-09-30;110000000;C;ACTIVO;Paula Zambrano Leiva
CL0340;Sociedad Comercial Biobio E.I.R.L.;60.046.580-5;CHILE;MAYORISTA;2023-01-03;25000000;B;ACTIVO;Hector Manriquez Salas
CL0341;Inversiones Lota SpA;60.046.717-4;CHILE;MAYORISTA;2018-09-22;50000000;B;ACTIVO;Ximena Toro Pacheco
CL0342;Alimentos Florida Ltda.;60.046.854-5;CHILE;MAYORISTA;2013-03-31;40000000;B;ACTIVO;Hector Manriquez Salas
CL0343;Inversiones Trehuaco y Cia. Ltda.;60.046.991-6;CHILE;MAYORISTA;2018-07-19;30000000;C;ACTIVO;Hector Manriquez Salas
CL0344;Gastronomica Nahuelbuta E.I.R.L.;60.047.128-7;CHILE;MAYORISTA;2018-01-24;20000000;B;ACTIVO;Cristian Bravo Aguilera
